"HDI Rank","Country","1998","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2008-2018",""
"Share of graduates from STEM programmes in tertiary education who are male (%)
null
Dimension: Gender
Definition: Share of male graduates among all graduates of tertiary programmes in science, technology, engineering and mathematics.
Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2019). Data Centre. http://data.uis.unesco.org. Accessed 11 April 2019."
"138"," Eswatini (Kingdom of)","..","","50.0","","50.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"173"," Ethiopia","..","","92.2","","89.2","","82.7","","..","","..","","..","","..","","..","","..","","..","","..","","82.7","a"
"12"," Finland","75.6","","72.2","","..","","72.0","","70.7","","71.7","","72.5","","72.8","","72.4","","72.9","","..","","..","","72.9","a"
"26"," France","..","","69.5","","..","","..","","..","","69.7","","69.2","","69.4","","68.8","","68.2","","..","","..","","68.2","a"
"174"," Gambia","..","","..","","..","","..","","50.2","","54.3","","..","","..","","..","","..","","..","","..","","54.3","a"
"70"," Georgia","..","","57.7","","..","","59.5","","..","","57.9","","..","","..","","..","","55.6","","56.3","","..","","56.3","a"
"4"," Germany","..","","78.3","","..","","..","","..","","..","","..","","..","","73.2","","72.9","","..","","..","","72.9","a"
"142"," Ghana","..","","..","","..","","..","","..","","..","","..","","..","","79.2","","79.5","","77.5","","..","","77.5","a"
"32"," Greece","..","","..","","58.6","","60.3","","60.8","","61.8","","61.6","","62.3","","..","","60.2","","..","","..","","60.2","a"
"78"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","52.3","","..","","64.6","","..","","64.6","a"
"126"," Guatemala","..","","..","","..","","..","","..","","..","","..","","65.3","","65.3","","..","","..","","..","","65.3","a"
"123"," Guyana","..","","..","","72.6","","74.6","","76.7","","72.8","","..","","..","","..","","..","","..","","..","","72.8","a"
"132"," Honduras","..","","..","","..","","..","","..","","60.6","","..","","..","","62.5","","..","","..","","..","","62.5","a"
"4"," Hong Kong, China (SAR)","..","","..","","74.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43"," Hungary","..","","75.2","","66.8","","66.8","","70.1","","69.7","","69.6","","69.0","","68.3","","68.5","","..","","..","","68.5","a"
"6"," Iceland","..","","62.1","","62.6","","56.4","","..","","64.8","","..","","..","","..","","..","","..","","..","","64.8","a"
"129"," India","..","","..","","..","","..","","..","","..","","57.9","","57.7","","57.9","","57.3","","56.1","","..","","56.1","a"
"111"," Indonesia","..","","..","","..","","..","","..","","..","","..","","62.5","","..","","..","","62.9","","..","","62.9","a"
"65"," Iran (Islamic Republic of)","..","","..","","62.8","","..","","71.4","","72.9","","..","","..","","..","","69.9","","..","","..","","69.9","a"
"3"," Ireland","64.8","","62.1","","..","","72.8","","..","","70.6","","76.5","","73.6","","71.3","","71.0","","..","","..","","71.0","a"
"29"," Italy","62.0","","63.2","","62.5","","..","","59.7","","54.7","","59.4","","59.6","","59.5","","60.5","","..","","..","","60.5","a"
"102"," Jordan","..","","..","","65.3","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Kazakhstan","..","","..","","..","","..","","..","","..","","..","","..","","..","","64.9","","66.9","","67.1","","67.1","a"
"147"," Kenya","..","","80.1","","..","","..","","..","","..","","..","","..","","..","","69.3","","..","","..","","69.3","a"
".."," Korea (Democratic People's Rep. of)","..","","..","","..","","..","","..","","..","","..","","..","","80.7","","..","","..","","..","","80.7","a"
"22"," Korea (Republic of)","68.9","","68.1","","70.9","","..","","72.9","","72.4","","72.3","","72.1","","74.0","","73.6","","..","","..","","73.6","a"
"122"," Kyrgyzstan","..","","..","","43.2","","58.8","","60.0","","58.7","","..","","..","","69.8","","70.9","","61.3","","..","","61.3","a"
"140"," Lao People's Democratic Republic","..","","..","","86.8","","..","","81.5","","82.4","","..","","..","","76.8","","77.6","","74.8","","..","","74.8","a"
"39"," Latvia","..","","67.7","","65.5","","66.0","","68.8","","67.9","","67.1","","66.3","","68.6","","68.1","","..","","..","","68.1","a"
"93"," Lebanon","..","","68.3","","70.8","","57.0","","56.7","","..","","..","","..","","..","","..","","..","","..","","56.7","a"
"164"," Lesotho","..","","..","","..","","..","","..","","69.7","","..","","..","","76.6","","..","","..","","..","","76.6","a"
