"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"GDP per capita (2011 PPP $)
null
Dimension: Income/composition of resources
Definition: GDP in a particular period divided by the total population in the same period.
Source: World Bank (2019a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 15 July 2019."
"170"," Afghanistan","..","","..","","..","","1099","","1672","","1627","","1773","","1808","","1796","","1767","","1757","","1758","","1735",""
"69"," Albania","4458","","4130","","5443","","7426","","9928","","10208","","10370","","10493","","10701","","10971","","11357","","11803","","12306",""
"82"," Algeria","10298","","9343","","10258","","12374","","12921","","13046","","13226","","13323","","13549","","13774","","13940","","13876","","13886",""
"149"," Angola","4761","","3408","","3892","","5113","","6360","","6346","","6645","","6731","","6813","","6645","","6258","","6045","","5725",""
"74"," Antigua and Barbuda","17473","","17664","","20791","","22229","","20660","","19953","","20389","","20121","","20821","","21426","","22394","","22856","","23768",""
"48"," Argentina","11373","","13960","","14975","","15619","","18912","","19817","","19392","","19638","","18935","","19244","","18645","","18945","","18282",""
"81"," Armenia","3742","","2173","","2925","","5357","","6703","","7020","","7505","","7717","","7954","","8172","","8159","","8745","","9178",""
"6"," Australia","28669","","30412","","35393","","38969","","41530","","41965","","42848","","43218","","43672","","44054","","44606","","44888","","45439",""
"20"," Austria","31342","","33792","","38844","","41283","","43336","","44453","","44552","","44301","","44247","","44254","","44671","","45493","","46473",""
"87"," Azerbaijan","8790","","3428","","4604","","8182","","16216","","15754","","15889","","16601","","16854","","16829","","16132","","15929","","16011",""
"60"," Bahamas","31006","","28219","","32973","","32839","","29707","","29504","","30079","","29663","","29343","","29366","","28585","","28705","","28705","a"
"45"," Bahrain","35113","","42897","","44943","","43202","","40571","","40168","","40969","","42693","","43848","","43927","","43732","","43320","","41973",""
"135"," Bangladesh","1326","","1482","","1692","","1991","","2518","","2651","","2791","","2925","","3067","","3232","","3424","","3634","","3879",""
"56"," Barbados","14123","","13273","","15391","","16031","","16276","","16333","","16338","","16305","","16278","","16396","","16698","","16839","","16839","a"
"50"," Belarus","8367","","5460","","7574","","11230","","16261","","17167","","17472","","17645","","17933","","17219","","16763","","17193","","17742",""
"17"," Belgium","30648","","32613","","37189","","39803","","41086","","41284","","41125","","41014","","41345","","41821","","42214","","42781","","43218",""
"103"," Belize","5116","","6204","","6954","","7851","","7849","","7830","","7875","","7765","","7877","","7977","","7769","","7726","","7810",""
"163"," Benin","1463","","1515","","1666","","1736","","1819","","1821","","1856","","1935","","2001","","1987","","2010","","2069","","2152",""
"134"," Bhutan","2354","","2790","","3433","","4577","","6814","","7269","","7548","","7616","","7954","","8380","","8944","","9247","","9348",""
"114"," Bolivia (Plurinational State of)","3703","","4076","","4371","","4641","","5337","","5525","","5716","","6009","","6240","","6444","","6620","","6799","","6986",""
"75"," Bosnia and Herzegovina","..","","1833","","6351","","8347","","9764","","9976","","10049","","10466","","10770","","11274","","11776","","12275","","12756",""
"94"," Botswana","8502","","9309","","10718","","11697","","13235","","13839","","14284","","15727","","16175","","15660","","16037","","16165","","16518",""
"79"," Brazil","10342","","11062","","11403","","12352","","14620","","15062","","15215","","15536","","15481","","14807","","14200","","14236","","14283",""
"43"," Brunei Darussalam","84693","","86139","","82068","","82977","","80556","","82503","","82150","","79323","","76449","","75074","","72370","","72524","","71802",""
"52"," Bulgaria","9297","","8446","","8833","","12420","","15283","","15676","","15772","","15939","","16324","","16999","","17793","","18606","","19321",""
"182"," Burkina Faso","844","","893","","1075","","1266","","1423","","1473","","1521","","1562","","1582","","1596","","1642","","1696","","1756",""
"185"," Burundi","1027","","822","","718","","693","","734","","739","","748","","761","","768","","716","","689","","671","","660",""
"126"," Cabo Verde","1676","","2441","","3897","","4759","","5943","","6102","","6091","","6061","","6022","","6007","","6214","","6387","","6662",""
"146"," Cambodia","..","","1098","","1385","","1969","","2522","","2658","","2806","","2963","","3124","","3290","","3467","","3654","","3870",""
"150"," Cameroon","3004","","2359","","2564","","2779","","2876","","2914","","2965","","3041","","3134","","3224","","3285","","3313","","3352",""
"13"," Canada","31386","","32281","","37534","","40557","","40700","","41569","","41842","","42362","","43138","","43106","","43089","","43852","","44051",""
"188"," Central African Republic","983","","899","","851","","840","","982","","1016","","1063","","678","","677","","703","","731","","754","","775",""
"187"," Chad","1109","","1040","","992","","1788","","1915","","1853","","1951","","1994","","2062","","2052","","1864","","1754","","1746",""
"42"," Chile","8970","","12101","","14241","","16970","","19363","","20343","","21219","","21862","","22014","","22257","","22331","","22297","","22874",""
"85"," China","1522","","2557","","3690","","5703","","9498","","10355","","11115","","11920","","12725","","13535","","14369","","15254","","16187",""
"79"," Colombia","7729","","8746","","8413","","9339","","10957","","11650","","11996","","12431","","12888","","13115","","13207","","13186","","13333",""
"156"," Comoros","2581","","2319","","2389","","2373","","2426","","2465","","2483","","2533","","2526","","2494","","2491","","2501","","2514",""
"138"," Congo","5323","","4737","","4621","","4868","","5323","","5354","","5415","","5465","","5695","","5702","","5404","","5103","","5024",""
"179"," Congo (Democratic Republic of the)","1387","","792","","573","","594","","660","","682","","706","","741","","785","","812","","805","","808","","827",""
"68"," Costa Rica","7744","","8865","","9786","","10929","","12909","","13303","","13778","","13930","","14259","","14617","","15077","","15430","","15685",""
"46"," Croatia","..","","12754","","15591","","20103","","20758","","20759","","20343","","20299","","20365","","21026","","21922","","22835","","23637",""
"31"," Cyprus","22472","","25524","","29368","","33629","","33913","","33192","","31750","","29978","","29912","","30673","","32002","","33048","","33048","a"
"26"," Czechia","20023","","19271","","21194","","25781","","28353","","28797","","28527","","28380","","29120","","30605","","31295","","32571","","33414",""
"165"," Côte d'Ivoire","3286","","2968","","2989","","2680","","2673","","2495","","2696","","2864","","3039","","3225","","3395","","3565","","3733",""
"11"," Denmark","33786","","37238","","42338","","44568","","43998","","44403","","44337","","44564","","45057","","45788","","46522","","47270","","47673",""
"171"," Djibouti","..","","..","","..","","..","","..","","2744","","..","","..","","..","","..","","..","","..","","..",""
"98"," Dominica","6658","","7180","","8230","","8700","","10278","","10250","","10134","","10066","","10497","","10215","","10455","","9438","","9467",""
"89"," Dominican Republic","5516","","6577","","8289","","9150","","11365","","11581","","11754","","12183","","12963","","13717","","14461","","14953","","15821",""
"85"," Ecuador","7463","","7716","","7357","","8551","","9305","","9884","","10286","","10634","","10868","","10704","","10394","","10454","","10412",""
"116"," Egypt","5898","","6282","","7504","","8137","","10019","","9983","","9982","","9971","","10032","","10243","","10461","","10673","","11014",""
"124"," El Salvador","4512","","5324","","5612","","5888","","6281","","6493","","6646","","6764","","6848","","6979","","7119","","7247","","7393",""
"144"," Equatorial Guinea","1018","","1743","","10938","","31698","","33990","","34622","","35888","","32959","","31743","","27709","","24297","","22299","","20865",""
"182"," Eritrea","..","","2224","","2485","","2287","","1962","","2103","","..","","..","","..","","..","","..","","..","","..",""
"30"," Estonia","..","","11362","","15703","","22807","","22741","","24543","","25692","","26283","","27113","","27610","","28565","","29916","","30991",""
