"HDI Rank","Country","2003","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2012-2017",""
"Prison population (per 100,000 people)
SDG 16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all
Dimension: Human Security
Definition: Number of adult and juvenile prisoners–excluding non-criminal prisoners held for administrative purposes, unless otherwise noted, held in prisons, penal Institutions or correctional Institutions–expressed per 100,000 population.
Source: UNODC (United Nations Office on Drugs and Crime) (2019). UNODC Statistics and Data. https://dataunodc.un.org. Accessed 3 June 2019."
"138"," Eswatini (Kingdom of)","291","","241","","..","","307","","273","","258","","279","","274","","..","","..","","274","a"
"173"," Ethiopia","..","","..","","119","","..","","120","","..","","117","","..","","..","","..","","117","a"
"98"," Fiji","..","","135","","128","","..","","160","","..","","174","","174","","203","","..","","203","a"
"12"," Finland","70","","74","","63","","61","","61","","61","","58","","57","","57","","56","","56","a"
"26"," France","91","","90","","96","","102","","105","","105","","103","","103","","106","","106","","106","a"
"115"," Gabon","..","","..","","..","","..","","..","","..","","..","","175","","..","","..","","175","a"
"174"," Gambia","..","","..","","..","","57","","..","","54","","58","","..","","..","","..","","58","a"
"70"," Georgia","134","","204","","560","","578","","471","","225","","260","","246","","237","","255","","255","a"
"4"," Germany","99","","98","","88","","86","","85","","81","","78","","77","","79","","77","","77","a"
"142"," Ghana","56","","57","","55","","..","","52","","53","","54","","52","","51","","51","","51","a"
"32"," Greece","78","","88","","108","","109","","110","","112","","105","","86","","85","","90","","90","a"
"78"," Grenada","..","","230","","418","","435","","464","","453","","482","","470","","426","","..","","426","a"
"126"," Guatemala","66","","63","","76","","..","","98","","105","","116","","117","","127","","144","","144","a"
"174"," Guinea","..","","..","","35","","..","","23","","..","","26","","..","","23","","25","","25","a"
"178"," Guinea-Bissau","..","","..","","..","","..","","..","","5","","30","","..","","11","","32","","32","a"
"123"," Guyana","..","","195","","289","","272","","270","","264","","..","","260","","284","","286","","286","a"
"169"," Haiti","39","","40","","53","","..","","85","","95","","99","","103","","..","","81","","81","a"
"132"," Honduras","..","","157","","144","","144","","142","","152","","169","","180","","192","","209","","209","a"
"4"," Hong Kong, China (SAR)","192","","169","","145","","132","","133","","129","","115","","117","","118","","113","","113","a"
"43"," Hungary","166","","156","","164","","174","","174","","181","","182","","178","","181","","178","","178","a"
"6"," Iceland","38","","40","","52","","46","","47","","46","","47","","44","","37","","39","","39","a"
"129"," India","28","","31","","30","","30","","30","","32","","32","","32","","..","","..","","32","a"
"111"," Indonesia","38","","43","","49","","..","","63","","64","","63","","67","","78","","93","","93","a"
