"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"Total population (millions)
null
Dimension: Demography
Definition: De facto population in a country, area or region as of 1 July.
Source: UNDESA (2019b). World Population Prospects: The 2019 Revision. New York. https://population.un.org/wpp/. Accessed 19 June 2019."
"170"," Afghanistan","12.4","","18.1","","20.8","","25.7","","29.2","","30.1","","31.2","","32.3","","33.4","","34.4","","35.4","","36.3","","37.2",""
"69"," Albania","3.3","","3.1","","3.1","","3.1","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9",""
"82"," Algeria","25.8","","28.8","","31.0","","33.1","","36.0","","36.7","","37.4","","38.1","","38.9","","39.7","","40.6","","41.4","","42.2",""
"36"," Andorra","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"149"," Angola","11.8","","13.9","","16.4","","19.4","","23.4","","24.2","","25.1","","26.0","","26.9","","27.9","","28.8","","29.8","","30.8",""
"74"," Antigua and Barbuda","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"48"," Argentina","32.6","","34.8","","36.9","","38.9","","40.9","","41.3","","41.8","","42.2","","42.6","","43.1","","43.5","","43.9","","44.4",""
"81"," Armenia","3.5","","3.2","","3.1","","3.0","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","3.0",""
"6"," Australia","17.0","a","18.0","a","19.0","a","20.2","a","22.2","a","22.5","a","22.9","a","23.3","a","23.6","a","23.9","a","24.3","a","24.6","a","24.9","a"
"20"," Austria","7.7","","8.0","","8.1","","8.3","","8.4","","8.5","","8.5","","8.6","","8.6","","8.7","","8.7","","8.8","","8.9",""
"87"," Azerbaijan","7.2","b","7.8","b","8.1","b","8.5","b","9.0","b","9.1","b","9.3","b","9.4","b","9.5","b","9.6","b","9.7","b","9.8","b","9.9","b"
"60"," Bahamas","0.3","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4",""
"45"," Bahrain","0.5","","0.6","","0.7","","0.9","","1.2","","1.3","","1.3","","1.3","","1.3","","1.4","","1.4","","1.5","","1.6",""
"135"," Bangladesh","103.2","","115.2","","127.7","","139.0","","147.6","","149.3","","151.0","","152.8","","154.5","","156.3","","158.0","","159.7","","161.4",""
"56"," Barbados","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3",""
"50"," Belarus","10.2","","10.1","","9.9","","9.6","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.5",""
"17"," Belgium","10.0","","10.2","","10.3","","10.5","","10.9","","11.0","","11.1","","11.2","","11.2","","11.3","","11.4","","11.4","","11.5",""
"103"," Belize","0.2","","0.2","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4",""
"163"," Benin","5.0","","5.9","","6.9","","8.0","","9.2","","9.5","","9.7","","10.0","","10.3","","10.6","","10.9","","11.2","","11.5",""
"134"," Bhutan","0.5","","0.5","","0.6","","0.6","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.8",""
"114"," Bolivia (Plurinational State of)","6.9","","7.6","","8.4","","9.2","","10.0","","10.2","","10.4","","10.5","","10.7","","10.9","","11.0","","11.2","","11.4",""
"75"," Bosnia and Herzegovina","4.5","","3.8","","3.8","","3.8","","3.7","","3.7","","3.6","","3.5","","3.5","","3.4","","3.4","","3.4","","3.3",""
"94"," Botswana","1.3","","1.5","","1.6","","1.8","","2.0","","2.0","","2.0","","2.1","","2.1","","2.1","","2.2","","2.2","","2.3",""
"79"," Brazil","149.0","","162.0","","174.8","","186.1","","195.7","","197.5","","199.3","","201.0","","202.8","","204.5","","206.2","","207.8","","209.5",""
"43"," Brunei Darussalam","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4",""
"52"," Bulgaria","8.8","","8.4","","8.0","","7.7","","7.4","","7.4","","7.3","","7.3","","7.2","","7.2","","7.2","","7.1","","7.1",""
"182"," Burkina Faso","8.8","","10.1","","11.6","","13.4","","15.6","","16.1","","16.6","","17.1","","17.6","","18.1","","18.6","","19.2","","19.8",""
"185"," Burundi","5.4","","6.0","","6.4","","7.4","","8.7","","9.0","","9.2","","9.5","","9.8","","10.2","","10.5","","10.8","","11.2",""
"126"," Cabo Verde","0.3","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5",""
"146"," Cambodia","9.0","","10.7","","12.2","","13.3","","14.3","","14.5","","14.8","","15.0","","15.3","","15.5","","15.8","","16.0","","16.3",""
"150"," Cameroon","11.8","","13.6","","15.5","","17.7","","20.3","","20.9","","21.5","","22.1","","22.7","","23.3","","23.9","","24.6","","25.2",""
"13"," Canada","27.5","","29.2","","30.6","","32.2","","34.1","","34.5","","34.9","","35.3","","35.7","","36.0","","36.4","","36.7","","37.1",""
"188"," Central African Republic","2.8","","3.2","","3.6","","4.0","","4.4","","4.4","","4.4","","4.4","","4.5","","4.5","","4.5","","4.6","","4.7",""
"187"," Chad","6.0","","7.0","","8.4","","10.1","","12.0","","12.4","","12.8","","13.2","","13.7","","14.1","","14.6","","15.0","","15.5",""
"42"," Chile","13.3","","14.4","","15.3","","16.2","","17.1","","17.2","","17.4","","17.6","","17.8","","18.0","","18.2","","18.5","","18.7",""
"85"," China","1176.9","","1240.9","","1290.6","","1330.8","","1368.8","","1376.5","","1384.2","","1391.9","","1399.5","","1406.8","","1414.0","","1421.0","","1427.6",""
"79"," Colombia","33.1","","36.4","","39.6","","42.6","","45.2","","45.7","","46.1","","46.5","","47.0","","47.5","","48.2","","48.9","","49.7",""
"156"," Comoros","0.4","","0.5","","0.5","","0.6","","0.7","","0.7","","0.7","","0.7","","0.8","","0.8","","0.8","","0.8","","0.8",""
"138"," Congo","2.4","","2.7","","3.1","","3.6","","4.3","","4.4","","4.5","","4.6","","4.7","","4.9","","5.0","","5.1","","5.2",""
"179"," Congo (Democratic Republic of the)","34.6","","41.6","","47.1","","54.8","","64.6","","66.8","","69.0","","71.4","","73.8","","76.2","","78.8","","81.4","","84.1",""
"68"," Costa Rica","3.1","","3.5","","4.0","","4.3","","4.6","","4.6","","4.7","","4.7","","4.8","","4.8","","4.9","","5.0","","5.0",""
"46"," Croatia","4.8","","4.6","","4.4","","4.4","","4.3","","4.3","","4.3","","4.3","","4.3","","4.2","","4.2","","4.2","","4.2",""
"72"," Cuba","10.6","","10.9","","11.1","","11.3","","11.2","","11.2","","11.3","","11.3","","11.3","","11.3","","11.3","","11.3","","11.3",""
"31"," Cyprus","0.8","c","0.9","c","0.9","c","1.0","c","1.1","c","1.1","c","1.1","c","1.1","c","1.2","c","1.2","c","1.2","c","1.2","c","1.2","c"
"26"," Czechia","10.3","","10.4","","10.3","","10.3","","10.5","","10.6","","10.6","","10.6","","10.6","","10.6","","10.6","","10.6","","10.7",""
"165"," Côte d'Ivoire","11.9","","14.2","","16.5","","18.4","","20.5","","21.0","","21.5","","22.1","","22.6","","23.2","","23.8","","24.4","","25.1",""
"11"," Denmark","5.1","","5.2","","5.3","","5.4","","5.6","","5.6","","5.6","","5.6","","5.7","","5.7","","5.7","","5.7","","5.8",""
"171"," Djibouti","0.6","","0.6","","0.7","","0.8","","0.8","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","1.0",""
"98"," Dominica","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"89"," Dominican Republic","7.1","","7.8","","8.5","","9.1","","9.7","","9.8","","9.9","","10.0","","10.2","","10.3","","10.4","","10.5","","10.6",""
"85"," Ecuador","10.2","","11.5","","12.7","","13.8","","15.0","","15.2","","15.5","","15.7","","16.0","","16.2","","16.5","","16.8","","17.1",""
"116"," Egypt","56.1","","62.3","","68.8","","75.5","","82.8","","84.5","","86.4","","88.4","","90.4","","92.4","","94.4","","96.4","","98.4",""
"124"," El Salvador","5.3","","5.6","","5.9","","6.1","","6.2","","6.2","","6.2","","6.3","","6.3","","6.3","","6.4","","6.4","","6.4",""
"144"," Equatorial Guinea","0.4","","0.5","","0.6","","0.8","","0.9","","1.0","","1.0","","1.1","","1.1","","1.2","","1.2","","1.3","","1.3",""
"182"," Eritrea","2.3","","2.2","","2.3","","2.8","","3.2","","3.2","","3.3","","3.3","","3.3","","3.3","","3.4","","3.4","","3.5",""
"30"," Estonia","1.6","","1.4","","1.4","","1.4","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3",""
"138"," Eswatini (Kingdom of)","0.8","","0.9","","1.0","","1.0","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1",""
"173"," Ethiopia","47.9","","57.0","","66.2","","76.3","","87.6","","90.1","","92.7","","95.4","","98.1","","100.8","","103.6","","106.4","","109.2",""
"98"," Fiji","0.7","","0.8","","0.8","","0.8","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9",""
"12"," Finland","5.0","d","5.1","d","5.2","d","5.3","d","5.4","d","5.4","d","5.4","d","5.4","d","5.5","d","5.5","d","5.5","d","5.5","d","5.5","d"
