"HDI Rank","Country","2000","","2010","","2015","","2016",""
"Suicide rate, female (per 100,000 people)
SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being
Dimension: Human Security
Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population.
Source: WHO (World Health Organization) (2019). Global Health Observatory. www.who.int/gho/. Accessed 15 July 2019."
"102"," Jordan","3.7","","2.7","","2.7","","2.7",""
"50"," Kazakhstan","10.4","","10.7","","8.5","","7.7",""
"147"," Kenya","3.6","","2.3","","2.1","","2.1",""
"132"," Kiribati","6.5","","5.8","","5.5","","5.4",""
".."," Korea (Democratic People's Rep. of)","7.7","","9.0","","8.2","","8.0",""
"22"," Korea (Republic of)","8.5","","18.7","","12.5","","11.6",""
"57"," Kuwait","1.4","","1.1","","1.7","","1.7",""
"122"," Kyrgyzstan","5.4","","4.4","","3.5","","3.7",""
"140"," Lao People's Democratic Republic","8.2","","6.6","","6.1","","6.1",""
"39"," Latvia","9.5","","4.2","","5.3","","5.1",""
"93"," Lebanon","2.1","","2.4","","2.3","","2.2",""
"164"," Lesotho","30.2","","31.0","","32.1","","32.6",""
"176"," Liberia","9.5","","12.7","","12.6","","13.0",""
"110"," Libya","3.0","","2.4","","2.1","","2.3",""
"34"," Lithuania","15.6","","9.5","","8.9","","6.7",""
"21"," Luxembourg","8.2","","5.2","","5.7","","5.8",""
"162"," Madagascar","5.0","","4.2","","3.7","","3.6",""
"172"," Malawi","4.7","","3.2","","3.2","","3.2",""
"61"," Malaysia","4.4","","3.6","","3.6","","3.6",""
"104"," Maldives","5.1","","2.4","","1.8","","1.6",""
"184"," Mali","5.0","","4.6","","4.8","","4.7",""
"28"," Malta","2.4","","1.6","","3.2","","2.8",""
"161"," Mauritania","3.0","","3.2","","3.5","","3.6",""
"66"," Mauritius","4.5","","3.5","","4.3","","2.2",""
"76"," Mexico","1.2","","1.9","","2.4","","2.3",""
"135"," Micronesia (Federated States of)","8.3","","6.8","","6.4","","6.2",""
"107"," Moldova (Republic of)","4.1","","5.1","","4.5","","3.8",""
"92"," Mongolia","8.2","","4.8","","3.9","","3.8",""
"52"," Montenegro","5.6","","4.1","","3.5","","3.6",""
