"HDI Rank","Country","2000","","2010","","2015","","2016",""
"Suicide rate, male (per 100,000 people)
SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being
Dimension: Human Security
Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population.
Source: WHO (World Health Organization) (2019). Global Health Observatory. www.who.int/gho/. Accessed 15 July 2019."
"102"," Jordan","5.8","","4.7","","4.7","","4.7",""
"50"," Kazakhstan","63.1","","56.1","","44.2","","40.1",""
"147"," Kenya","13.2","","9.5","","9.4","","9.7",""
"132"," Kiribati","25.6","","25.8","","26.0","","25.9",""
".."," Korea (Democratic People's Rep. of)","14.6","","16.3","","15.2","","14.8",""
"22"," Korea (Republic of)","20.8","","39.3","","31.4","","29.6",""
"57"," Kuwait","1.8","","1.7","","2.5","","2.5",""
"122"," Kyrgyzstan","26.5","","20.0","","14.5","","14.8",""
"140"," Lao People's Democratic Republic","16.8","","13.5","","12.8","","12.9",""
"39"," Latvia","54.3","","35.8","","30.9","","31.0",""
"93"," Lebanon","4.5","","3.9","","4.2","","4.2",""
"164"," Lesotho","21.3","","22.2","","22.5","","22.7",""
"176"," Liberia","12.9","","13.5","","13.2","","13.8",""
"110"," Libya","9.1","","9.1","","7.1","","8.7",""
"34"," Lithuania","81.7","","56.4","","51.5","","47.5",""
"21"," Luxembourg","20.6","","15.3","","17.4","","15.0",""
"162"," Madagascar","12.1","","11.4","","10.6","","10.5",""
"172"," Malawi","20.3","","14.2","","13.3","","13.7",""
"61"," Malaysia","10.4","","9.0","","8.7","","8.7",""
"104"," Maldives","7.7","","4.7","","4.0","","3.6",""
"184"," Mali","13.5","","13.2","","13.5","","13.5",""
"28"," Malta","8.9","","12.2","","10.8","","10.3",""
"161"," Mauritania","9.9","","11.1","","11.9","","12.1",""
"66"," Mauritius","17.3","","12.2","","12.1","","12.5",""
"76"," Mexico","6.9","","7.9","","9.0","","8.2",""
