White,Red,Blue,Green,Yellow
5,8,2,3,2
90,43,9,27,8
2,1,1,5,1
125,56,20,26,13
73,32,8,22,6
16,10,0,3,3
158,85,18,44,12
99,43,13,25,8
57,24,6,13,6
109,44,10,24,3
261,57,20,32,10
22,9,6,7,4
57,37,5,23,7
54,37,6,16,10
159,58,17,26,8
157,54,26,41,15
58,40,10,27,9
6,6,0,1,1
149,87,18,34,17
20,10,5,4,2
60,33,15,4,2
135,66,18,33,13
