Valet 2018,,,2018,,2014,
Party,Abbr.,Colour,Kvinnor,Män,Kvinnor,Män
Socialdemokraterna,S,Red,48,52,53,60
Centerpartiet,C,DarkGreen,12,19,9,13
Kristdemokraterna,KD,Blue,6,16,6,10
Liberalerna,L,LightBlue,8,12,5,14
Miljöpartiet,MP,LightGreen,12,4,12,13
Moderaterna,M,DarkBlue,38,32,44,40
Sverigedemokraterna,SD,Yellow,18,44,12,37
Vänsterpartiet,V,DarkRed,19,9,12,9
Summa,,,161,188,153,196
https://www.svt.se/nyheter/inrikes/mp-och-kd-mest-ojamstallda-i-riksdagen,,,,,,
