White,Red,Blue,Green,Yellow
69,24,11,13,8
7,3,0,4,0
33,17,1,5,3
81,31,12,14,4
31,7,6,5,2
60,26,12,17,9
79,39,10,23,8
76,51,15,20,13
169,82,15,36,15
220,96,22,30,26
3,3,0,1,1
2,1,2,1,2
52,37,6,17,11
63,35,9,17,0
45,17,2,7,3
57,21,8,15,4
69,28,8,19,8
65,25,8,12,6
72,43,10,23,13
53,32,7,18,6
52,40,8,10,7
209,101,23,53,19
68,26,9,18,2
